TimeMS,Rate,Loss
269,600,0.0100
480,700,0.0100
667,800,0.0200
839,900,0.0100
997,1000,0.0400
1133,1100,0.0100
1295,1200,0.0300
1427,1300,0.0400
1550,1400,0.0100
1669,1500,0.0100
1785,1600,0.0200
1893,800,0.0500
2060,900,0.0200
2207,1000,0.0300
2339,1100,0.0000
2460,1200,0.0300
2580,1300,0.0200
2690,1400,0.0100
2793,1500,0.0400
2890,1600,0.0200
3001,1700,0.0200
3089,1800,0.0300
3174,1900,0.0000
3437,2000,0.0100
3530,1000,0.5109
3612,500,0.6200
3790,600,0.0200
4005,700,0.0400
4177,800,0.0200
4346,900,0.0200
4526,1000,0.0400
4677,1100,0.0200
4809,1200,0.0200
4934,1300,0.0000
5061,1400,0.0100
5197,1500,0.0100
5378,1600,0.0200
5470,1700,0.0100
5626,850,0.6400
5792,425,0.5324
5849,212,0.5000
6289,312,0.0400
6682,412,0.0100
7022,512,0.0000
7283,612,0.0100
7498,712,0.0100
7688,812,0.0100
7900,406,0.0500
8222,506,0.0400
8465,606,0.0200
8687,706,0.0200
8872,806,0.0200
9062,906,0.0400
9217,1006,0.0000
9357,1106,0.0000
9493,1206,0.0200
9631,1306,0.0200
9755,1406,0.0000
9868,1506,0.0200
9992,1606,0.0100
10173,1706,0.0300
10409,1806,0.0200
10410,903,0.7132
10605,451,0.3400
10777,225,0.3300
11062,325,0.0000
11440,425,0.0000
11760,525,0.0200
12004,625,0.0200
12208,725,0.0000
12394,825,0.0400
12579,925,0.0200
12748,462,0.0600
13023,562,0.0200
13334,662,0.0000
13645,762,0.0000
13941,862,0.0100
14127,962,0.0200
14291,1062,0.0200
14437,1162,0.0200
14561,1262,0.0000
14707,1362,0.0000
14812,681,0.0500
15064,781,0.0200
15244,881,0.0200
15406,981,0.0200
15545,1081,0.0400
15695,1181,0.0200
15815,1281,0.0200
16054,640,0.0500
16285,320,0.4095
16350,160,0.5294
17001,260,0.0400
17434,360,0.0100
17790,180,0.0500
18409,280,0.0100
18857,380,0.0297
19156,480,0.0300
19426,580,0.0200
19634,680,0.0300
19818,780,0.0400
19999,880,0.0100
